"from","to","query","score"
"dromaro","whata7yroldsays","vegetable",-1
"MilwaukeeKay1","Morning_Joe","congress",-2
"AllieLoney","jamieoliver","vegetable",0
"howardhauling","JohnnyArgent","congress",1
"joelpm_","biinT","vegetable",0
"DJN00B","RickGivens","congress",-1
"mccv","jeremycloud","vegetable",-1
"byewren","thegrammarnazi","vegetable",0
"MariAdkins","jasummerell","congress",-1
"AmeryMerry","latimes","vegetable",0
"aglipp","el_lip","vegetable",0
"K_Mula_","Tezzy_daplumber","vegetable",2
"huck1eberry","whereishawkins","vegetable",-1
"NDefilippo","xxkyliee","vegetable",0
"kupo24","Rosie","vegetable",-1
"N_da_Mood","zuze_abelle","vegetable",0
"Moneysinkrecs","TheDolceDiet","congress",0
"SureItsSunnie","flowerflowerr","school",1
"Gafiltha","joenoia","vegetable",0
"TinyRussian","WTFWJoshuaD","vegetable",0
"sophiebiblio","smkuenn","vegetable",0
"JacobHall86","jjpethtel","vegetable",0
"Tspoon23","r0samami","congress",0
"CoRamey","chelseahandler","vegetable",0
"skppy1225","sedaheht","congress",3
"jfeeser","joel_haddock","vegetable",-1
"ShariFitness","BiteSizeMovie","vegetable",0
"0CommonSense","CamAndCompany","vegetable",1
"fayannx3","clarakathleenx3","school",1
"TheArmyVeteran","UncleBlazer","vegetable",1
"blondygirl1","NicksReport","vegetable",-1
"lolNickFox","alexmason","congress",2
"LCCshirley","dkny","vegetable",-1
"RobinKimball","BenjaminBirdie","congress",2
"oakathletics51","SammiAllStar","vegetable",0
"velvetkat","mw55","congress",0
"NeverBored60","bekitoburrito","congress",0
"Ellehardman95","DaanyaalSahi","school",1
"MatthewSievert","acfchefs","vegetable",0
"fischooler","STLJBird","school",0
"timcourtney","chezbut","vegetable",-1
"tradefast","DeeRaz","vegetable",1
"LawAndWhiskey","iDiggedy","vegetable",1
"djbtv","adoxography_","vegetable",-1
"agoulet","candacesbanning","school",1
"slavingia","giniji","vegetable",0
"Joeod3","sacsplace","vegetable",0
"TheMotorStory","ParentingLinks","vegetable",1
"dustingehrig","BornFitness","vegetable",0
"MDBurgos1","sciam","congress",0
"KJonKJ","seanderryair","vegetable",-1
"DylannnF","amberrlina","school",0
"CTUBS","michelliiiieeee","vegetable",0
"KristineBrite","TheBloggess","vegetable",1
"joshsternberg","shortformernie","vegetable",-1
"dg1423","sodamndelish","vegetable",0
"regularguy5mb","tyleroakley","congress",0
