"from","geox","geoy"
"dromaro",33.749588,-117.874307
"MilwaukeeKay1",43.04181,-87.906844
"AllieLoney",41.823875,-71.411994
"howardhauling",37.777125,-122.419644
"joelpm_",34.0037,-118.486
"DJN00B",37.777125,-122.419644
"mccv",37.18886,-121.705433
"byewren",37.869885,-122.270539
"MariAdkins",37.822445,-85.69091
"AmeryMerry",38.579065,-121.491014
"aglipp",40.259865,-76.88223
"K_Mula_",43.04181,-87.906844
"huck1eberry",41.8853,-87.62707
"NDefilippo",42.651445,-73.755254
"kupo24",30.267605,-97.742984
"N_da_Mood",39.3285,-82.1018
"Moneysinkrecs",42.358635,-71.056699
"SureItsSunnie",34.05349,-118.245319
"Gafiltha",34.167874,-111.930706
"TinyRussian",39.96196,-83.002984
"sophiebiblio",40.217875,-74.759404
"JacobHall86",33.924835,-84.379084
"Tspoon23",34.05349,-118.245319
"CoRamey",39.96196,-83.002984
"skppy1225",41.2408,-75.8942
"jfeeser",38.99668,-77.028874
"ShariFitness",33.960775,-84.037937
"0CommonSense",37.271875,-119.270229
"fayannx3",42.88544,-78.878464
"TheArmyVeteran",40.71862,-73.764954
"blondygirl1",38.579065,-121.491014
"lolNickFox",40.71443,-74.006099
"LCCshirley",40.701408,-73.887199
"RobinKimball",40.713985,-73.829959
"oakathletics51",37.338475,-121.885794
"velvetkat",26.12367,-80.143564
"NeverBored60",30.267605,-97.742984
"Ellehardman95",51.3183,-0.5832
"MatthewSievert",42.73194,-84.552249
"fischooler",38.62774,-90.199514
"timcourtney",41.88415,-87.632409
"tradefast",40.217875,-74.759404
"LawAndWhiskey",30.267605,-97.742984
"djbtv",37.777125,-122.419644
"agoulet",41.763325,-72.674069
"slavingia",37.777125,-122.419644
"Joeod3",40.71455,-74.007124
"TheMotorStory",44.22019,-70.32917
"dustingehrig",39.4209,-92.4195
"MDBurgos1",30.439775,-84.280649
"KJonKJ",39.049285,-95.671184
"DylannnF",34.073055,-117.889166
"CTUBS",32.715695,-117.161719
"KristineBrite",39.766911,-86.149963
"joshsternberg",40.677689,-73.969757
"dg1423",37.395321,-122.052628
"regularguy5mb",34.23497,-77.945992
"Tanya_bowling",38.19507,-84.878694
"D3fStL",38.62774,-90.199514
"chaymon",33.24467,-111.634519
"MatthewSaffer",37.44466,-122.160794
"Kuraiinu",30.267605,-97.742984
"Goody2NY",40.71455,-74.007124
"hermbot",34.705885,-86.750953
"daffodilblog",20.573655,-157.526855
"elizabethhagin",33.641319,-84.450142
"peterbujnowski",35.472015,-97.520354
"azzamkamal",35.785511,-78.64267
"MrJohnAJackson",34.05349,-118.245319
"MistuhMarc",37.5407,-77.433654
"robertloerzel",41.88415,-87.632409
"Cecconi140",42.651445,-73.755254
"Hoylman",38.419288,-82.055908
"morgannDoll",42.651445,-73.755254
"msmandrea",33.766725,-118.192399
"picturesmith",34.199977,-118.629803
"anthonyvirgil",34.05349,-118.245319
"onemoremistake",30.439775,-84.280649
"ShafrazZ",40.240125,-76.921194
"briantrann",38.579065,-121.491014
"Quinnurp",41.0008,-111.8997
"goochi26",38.579065,-121.491014
"Emperor2k9",40.259865,-76.88223
"TheJackalopeTX",32.3069,-106.777849
"healthyschools",41.88415,-87.632409
"fireballil",39.801055,-89.643604
"JimMarous",41.50438,-81.690434
"iCrizzo",43.871655,-72.451653
"CainCampaign",33.641319,-84.450142
"First_Focus",38.89037,-77.031959
"TheAngryDM",40.852505,-73.135849
"marshmalloy",39.11338,-94.626824
"stephodeffo",30.267605,-97.742984
"TheRealDJRed",40.71455,-74.007124
"DietsInReview",40.692455,-73.990364
"DerekGille",43.0224,-89.5118
"randysnow",40.759505,-111.888229
"gertiewest",37.777125,-122.419644
"Easleylost",47.039231,-122.891366
"SRvz",30.439775,-84.280649
"Dktr_Sus",47.60356,-122.329439
"Poppet0609",32.38012,-86.300629
"mccartya",42.331685,-83.047924
"CalAthena",38.579065,-121.491014
"tlarn",30.439775,-84.280649
"sistasupport",38.579065,-121.491014
"divya7x",38.579065,-121.491014
"OkeyMor57",32.679821,-97.380244
"Blankchan_",32.715695,-117.161719
